taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
30388,Adansonia grandidieri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,Baillon,2016,2016-07-07,EN,A4c,Decreasing,FALSE,FALSE,TRUE,"Ravaomanalina, H. & Razafimanahaka, J.","Rakouth, B. & Goettsch, B.",90,26232,50,0,NA,NA,NA,NA,NA,NA
146626600,Adansonia gregorii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,F.Muell.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Leach, G. & Lewis, D.",1000.00,5664890.65,NA,NA,NA,NA,NA,NA,NA,NA
37681,Adansonia madagascariensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,Madagascar Baobab,Baill.,2020,2020-06-15,LC,NA,Decreasing,FALSE,FALSE,TRUE,"Andriamanohera, A.M.","Ralimanana, H. & Razafiniary, V.",200,81860,100,10,NA,NA,NA,NA,NA,NA
33612,Adansonia perrieri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,Capuron,2019,2018-12-11,CR,C2a(i),Decreasing,FALSE,FALSE,TRUE,"Letsara, R., Faramalala, M., Razafindrahaja, V. & Faranirina, L.","Razanatsoa, J., Ravaomanalina, H. & Groupe des Spécialistes et Passionnés des Baobabs de Madagascar (GSPBM)",100,14312,670,33,NA,NA,NA,NA,NA,NA
37679,Adansonia rubrostipa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,Jum. &amp; Perr.,2019,2018-12-11,LC,NA,Unknown,FALSE,FALSE,TRUE,"Letsara, R., Faranirina, L., Razafindrahaja, V. & Faramalala, M.","Ranaivoandriamanantena, T.I., Razanatsoa, J., Ravaomanalina, H. & Groupe des Spécialistes et Passionnés des Baobabs de Madagascar (GSPBM)",128,77635,269,0,NA,NA,NA,NA,NA,NA
30389,Adansonia suarezensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,H.Perrier,2017,2015-12-18,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,FALSE,FALSE,TRUE,Members of the IUCN SSC Madagascar Plant Specialist Group & Missouri Botanical Garden,"Faranirina, L. & Andriambololonera, S.",72,208.774,150,0,NA,NA,TRUE,The Assessor of the published 1998 assessment was accidentally carried over to this assessment when it was published in 2017. This corrected version now uses the correct Assessor names. The references in the Bibliography have also been corrected and updated.,NA,NA
37680,Adansonia za,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Adansonia,NA,Baill.,2019,2015-07-15,LC,NA,Decreasing,FALSE,FALSE,TRUE,"Letsara, R., Faramalala, M., Razafindrahaja, V. & Faranirina, L.","Ranaivoandriamanantena, T.I., Razanatsoa, J., Ravaomanalina, H. & Groupe des Spécialistes et Passionnés des Baobabs de Madagascar (GSPBM)",560,504093,800,0,NA,NA,NA,NA,NA,NA
144306050,Bombax buonopozense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Bombax,NA,P.Beauv.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",536.00,4908189.95,NA,NA,NA,NA,NA,NA,NA,NA
61781914,Bombax ceiba,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Bombax,NA,L.,2020,2018-09-21,LC,NA,Stable,FALSE,FALSE,TRUE,"Barstow, M.","Deepu, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146784117,Bernoullia flammea,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Bernoullia,NA,Oliv.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Brewer, S.W.B.",532.00,1494173.04,NA,NA,NA,NA,NA,NA,NA,NA
