species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,occurrenceStatus
Ceiba pentandra,-75.333662,10.524366,COL,NA,3019066298,Malvaceae,SPECIES,NA,2018,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.338254,10.517913,COL,NA,3019066040,Malvaceae,SPECIES,NA,2018,HUMAN_OBSERVATION,PRESENT
Pseudobombax septenatum,-74.888741,10.799292,COL,NA,3019066023,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.326361,10.534545,COL,NA,3019065698,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Pseudobombax septenatum,-75.325987,10.534442,COL,NA,3019065686,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-74.930004,10.758009,COL,NA,3019065630,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.326126,10.53463,COL,NA,3019065196,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-74.930004,10.758009,COL,NA,3019065167,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.326222,10.534761,COL,NA,3019064963,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-74.969603,10.710361,COL,NA,3019064643,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-74.969603,10.710361,COL,NA,3019064588,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.322298,10.539018,COL,NA,3019064466,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.32175,10.53954,COL,NA,3019064348,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.319548,10.542145,COL,NA,3019063954,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.319545,10.542117,COL,NA,3019063939,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.321743,10.540345,COL,NA,3019063556,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.276735,10.582867,COL,NA,3019063493,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.369505,10.490456,COL,NA,3019063330,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Pseudobombax septenatum,-74.969603,10.710361,COL,NA,3019063258,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.265732,10.596713,COL,NA,3019063226,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Ceiba pentandra,-75.266441,10.595981,COL,NA,3019062997,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
Pseudobombax septenatum,-75.278411,10.582922,COL,NA,3019062759,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,PRESENT
