occurrence_no,record_type,collection_no,taxon_name,taxon_rank,taxon_no,matched_name,matched_rank,matched_no,early_interval,early_age,late_age,reference_no,lng,lat,genus,genus_no,family,family_no,order,order_no,class,class_no,phylum,phylum_no,cc,state,geogscale,early_age.1,late_age.1,cx_int_no,early_int_no,late_int_no,genus_name,species_name,late_interval,county,species_reso,genus_reso
203392,occurrence,21249,Hightea elliptica,species,409568,Hightea elliptica,species,409568,Ypresian,56,47.8,6528;6528,-0.650000,50.783333,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,elliptica,NA,NA,NA,NA
216879,occurrence,22072,Malvaceae indet.,family,53879,Malvaceae,family,53879,Calabrian,1.806,NA,5323;5323,29.823099,1.231400,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CD,NA,small collection,1.806,NA,12,740,32,Malvaceae,indet.,Holocene,NA,NA,NA
217093,occurrence,22117,Malvaceae indet.,family,53879,Malvaceae,family,53879,Pleistocene,2.588,0.0117,5323;5323,29.823099,1.231400,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CD,NA,NA,2.588,0.0117,33,33,33,Malvaceae,indet.,NA,NA,NA,NA
247665,occurrence,24201,Bombacacidites kettigensis,species,276601,Bombacacidites,genus,276601,MP 13,48.6,40.4,6814;6814,6.840000,50.099998,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,DE,Eifel,small collection,48.6,40.4,37,109,107,Bombacacidites,kettigensis,NA,Eckfeld,NA,NA
247666,occurrence,24201,Bombacacidites tilioides,species,276601,Bombacacidites,genus,276601,MP 13,48.6,40.4,6814;6814,6.840000,50.099998,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,DE,Eifel,small collection,48.6,40.4,37,109,107,Bombacacidites,tilioides,NA,Eckfeld,NA,NA
247667,occurrence,24201,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,MP 13,48.6,40.4,6814;6814,6.840000,50.099998,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,DE,Eifel,small collection,48.6,40.4,37,109,107,Bombacacidites,sp.,NA,Eckfeld,NA,NA
263418,occurrence,22806,Hightea elliptica,species,409568,Hightea elliptica,species,409568,Ypresian,56,47.8,6528;6528,1.133333,51.366669,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,outcrop,56,47.8,109,109,109,Hightea,elliptica,NA,Kent,NA,NA
263419,occurrence,22806,Hightea turgida,species,417845,Hightea turgida,species,417845,Ypresian,56,47.8,6528;6528,1.133333,51.366669,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,outcrop,56,47.8,109,109,109,Hightea,turgida,NA,Kent,NA,NA
263639,occurrence,25501,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.878609,46.295277,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
274432,occurrence,25911,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.874443,46.346943,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
274453,occurrence,25912,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.874443,46.346943,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277294,occurrence,25915,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.864441,46.321945,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277326,occurrence,25914,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.864441,46.321945,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277368,occurrence,25917,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.869164,46.346943,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277401,occurrence,25921,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-104.010002,46.432499,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277406,occurrence,25922,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.862503,46.299168,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
277430,occurrence,25923,Grewiopsis saportana,species,56057,Grewiopsis,genus,56057,Lancian,70.6,66,7941;7941,-103.862503,46.299168,Grewiopsis,56057,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,US,North Dakota,small collection,70.6,66,112,112,112,Grewiopsis,saportana,NA,Slope,NA,NA
296992,occurrence,28417,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
296993,occurrence,28417,Bombacacidites protofoveoreticulatus n. sp.,species,327218,Bombacacidites protofoveoreticulatus,species,327218,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofoveoreticulatus,NA,NA,n. sp.,NA
297032,occurrence,28433,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297100,occurrence,28434,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297101,occurrence,28434,Bombacacidites protofoveoreticulatus n. sp.,species,327218,Bombacacidites protofoveoreticulatus,species,327218,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofoveoreticulatus,NA,NA,n. sp.,NA
297105,occurrence,28435,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297318,occurrence,28436,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297319,occurrence,28436,Bombacacidites protofeoreticulatus n. sp.,species,276601,Bombacacidites,genus,276601,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofeoreticulatus,NA,NA,n. sp.,NA
297320,occurrence,28436,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,sp.,NA,NA,NA,NA
297646,occurrence,28438,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297650,occurrence,28439,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
297651,occurrence,28439,Bombacacidites protofoveoreticulatus n. sp.,species,327218,Bombacacidites protofoveoreticulatus,species,327218,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofoveoreticulatus,NA,NA,n. sp.,NA
297652,occurrence,28439,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,sp.,NA,NA,NA,NA
298837,occurrence,28563,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
298838,occurrence,28563,Bombacacidites protofoveoreticulatus n. sp.,species,327218,Bombacacidites protofoveoreticulatus,species,327218,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofoveoreticulatus,NA,NA,n. sp.,NA
298839,occurrence,28563,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,sp.,NA,NA,NA,NA
298872,occurrence,28564,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
298873,occurrence,28564,Bombacacidites protofoveoreticulatus n. sp.,species,327218,Bombacacidites protofoveoreticulatus,species,327218,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,protofoveoreticulatus,NA,NA,n. sp.,NA
298875,occurrence,28565,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
298906,occurrence,28567,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
298907,occurrence,28567,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,sp.,NA,NA,NA,NA
298979,occurrence,28568,Bombacacidites annae,species,280344,Bombacacidites annae,species,280344,Late Paleocene,58.7,55.8,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,58.7,55.8,26,110,109,Bombacacidites,annae,NA,NA,NA,NA
299212,occurrence,28775,Bombacacidites nacimientoensis,species,328011,Bombacacidites nacimientoensis,species,328011,Middle Eocene,48.6,37.2,7828;7828,-73.016670,4.900000,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,CO,NA,outcrop,48.6,37.2,37,109,106,Bombacacidites,nacimientoensis,NA,NA,NA,NA
