taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
61785778,Guazuma ulmifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Guazuma,NA,Lam.,2019,2018-09-28,LC,NA,Stable,FALSE,FALSE,TRUE,"Barstow, M.","Samain, M.-S. & Newton, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61787794,Sterculia apetala,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Sterculia,Panama tree,(Jacq.) H.Karst.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",1844.00,15122678.35,NA,NA,NA,NA,NA,NA,NA,NA
61782438,Ceiba pentandra,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Ceiba,NA,(L.) Gaertn.,2017,2017-03-03,LC,NA,Unknown,FALSE,FALSE,TRUE,"Rivers, M.C. & Mark, J.","Oldfield, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145677708,Apeiba membranacea,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Apeiba,NA,Spruce ex Benth.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"ter Steege, H.",1796,6713820.1,NA,NA,NA,NA,NA,NA,NA,NA
151972680,Luehea seemannii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Luehea,NA,Triana &amp; Planch.,2019,2019-06-19,LC,NA,Unknown,FALSE,FALSE,TRUE,"Condit, R.","Beech, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136663001,Urena lobata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Urena,NA,L.,2020,2019-04-08,LC,NA,Stable,FALSE,TRUE,TRUE,"Ghogue, J.-P.","Sayer, C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61786501,Luehea divaricata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Luehea,NA,Mart.,2018,2017-10-06,DD,NA,Decreasing,FALSE,FALSE,TRUE,"Barstow, M.","Stefenon, V. & Moraes, L.",NA,286158,NA,NA,NA,NA,NA,NA,NA,NA
131179230,Melochia pyramidata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Melochia,NA,L.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",5132.00,33135581.87,NA,NA,NA,NA,NA,NA,NA,NA
61786528,Ochroma pyramidale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Ochroma,Balsa,(Cav. ex Lam.) Urb.,2019,2018-12-31,LC,NA,Unknown,FALSE,FALSE,TRUE,"Midgley, S., Jenkin, B. & Thomson, L.","Barstow, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179304673,Quararibea guianensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,NA,Aubl.,2020,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Hoffman, B.",484.00,5747477.40,NA,NA,NA,NA,NA,NA,NA,NA
